facility_id,facility_name,city,state,census_region,ownership_category,star_rating,years_penalized,chronic_risk_score,risk_tier,penalty_year1,penalty_slope,err_year1,err_slope,err_mean,conditions_scored_yr3,avg_conditions_scored,bed_count,operating_margin,net_patient_revenue
140304,UCHICAGO MEDICINE ADVENTHEALTH BOLINGBROOK,BOLINGBROOK,IL,Midwest,Non-Profit,3,9,0.9996625828300711,Critical,0.0058,0.0023499999999999992,1.017266531040462,-0.0031170030867981213,1.0294625869327292,5,4.875,114.000000000,-0.168300000,228831243.000000000
140054,MACNEAL  HOSPITAL,BERWYN,IL,Midwest,For-Profit,3,9,0.9996483908917246,Critical,0.016,-0.0035500000000000006,1.0751127563446112,-0.007329434958202243,1.0345008036648518,6,5.75,268.000000000,0.296100000,433616225.000000000
670098,RESOLUTE HEALTH HOSPITAL,NEW BRAUNFELS,TX,South,For-Profit,4,9,0.9996184288711999,Critical,0.0093,0.0037499999999999986,1.0532053858102304,-0.0020395951351599574,1.0579334289613636,5,4.875,121.000000000,0.165900000,147683898.000000000
240084,ESSENTIA HEALTH VIRGINIA,VIRGINIA,MN,Midwest,Government,4,9,0.999570424520115,Critical,0.0092,-0.0001000000000000007,1.0202983094062257,-0.003095679414874829,1.0180544646559526,5,4.875,49.000000000,0.019100000,152760460.000000000
150008,ST CATHERINE HOSPITAL INC,EAST CHICAGO,IN,Midwest,Non-Profit,4,9,0.9994635630781339,Critical,0.0018,0.00044999999999999993,0.9944898453343841,0.00036597351728674145,1.0081400381566574,6,5.875,128.000000000,-0.133100000,166750844.000000000
450379,DALLAS MEDICAL CENTER,DALLAS,TX,South,For-Profit,3,9,0.999459365390384,Critical,0.0062,-0.0014000000000000002,1.039937651903369,-0.0004363502255723335,1.0202249745342078,5,4.875,119.000000000,-0.144300000,58559350.000000000
150088,ASCENSION ST VINCENT ANDERSON,ANDERSON,IN,Midwest,Non-Profit,2,9,0.9994582802406986,Critical,0.0283,-0.013149999999999998,1.051657531290332,0.008099533158157955,1.018128131327208,5,4.875,136.000000000,-0.040700000,190608248.000000000
050278,PROVIDENCE HOLY CROSS MEDICAL CENTER,MISSION HILLS,CA,West,Non-Profit,4,8,0.9994382071116927,Critical,0.0073,-0.0002999999999999995,0.9670816871832684,0.006081640246376965,1.0074926378492797,6,5.875,297.000000000,0.028000000,631815697.000000000
360145,UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER,ELYRIA,OH,Midwest,Non-Profit,4,9,0.9994338477584104,Critical,0.019,-0.0024499999999999986,1.0886674122737483,-0.01503523293217877,1.0135753480980194,6,5.875,197.000000000,-0.034600000,221363233.000000000
290022,,,,,,0,9,0.9994291821974316,Critical,0.0116,0.0027500000000000003,1.0601930933302741,-0.010576392506809137,1.0521919840486067,6,5.857142857142857,190.000000000,-0.394400000,182768236.000000000
420049,CONWAY MEDICAL CENTER,CONWAY,SC,South,Non-Profit,2,9,0.9994160713258693,Critical,0.0137,-0.005650000000000001,1.0033096325519313,0.004365505615596182,0.993662236032119,5,4.875,163.000000000,-0.189300000,329348232.000000000
360079,KETTERING HEALTH MAIN CAMPUS,KETTERING,OH,Midwest,Non-Profit,3,9,0.9994142849542227,Critical,0.0058,-0.0011499999999999991,0.9902136856232403,0.008152336895009944,0.9898782338703074,6,5.875,407.000000000,0.021900000,759324003.000000000
010131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,South,For-Profit,3,9,0.9994132417864735,Critical,0.0269,0.0015499999999999982,1.0781342118182613,-0.016013257956906665,1.0388023655856684,5,5.125,157.000000000,0.130000000,278607019.000000000
330175,GUTHRIE CORTLAND REGIONAL MEDICAL CENTER,CORTLAND,NY,Northeast,Non-Profit,3,9,0.9994012750619666,Critical,0.0198,-0.005900000000000002,1.0399557006915094,-0.0013178449819564006,1.0109483067865452,5,4.875,84.000000000,0.087400000,150366053.000000000
300029,PORTSMOUTH REGIONAL HOSPITAL,PORTSMOUTH,NH,Northeast,For-Profit,3,9,0.999378749928088,Critical,0.0187,-0.006150000000000003,1.0338144063437218,-0.0016538153562704518,0.9982524332570872,6,5.875,189.000000000,0.573900000,414737185.000000000
330056,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,BROOKLYN,NY,Northeast,Non-Profit,2,9,0.9993575430524685,Critical,0.0178,-0.0055000000000000005,1.12358176204375,-0.017260116901380334,1.0421517037402706,5,4.875,236.000000000,-0.255700000,429987997.000000000
310009,CLARA MAASS MEDICAL CENTER,BELLEVILLE,NJ,Northeast,Non-Profit,3,9,0.9993483806554253,Critical,0.004,-0.00029999999999999943,0.971328729283251,0.004976602321365458,0.9833527779665581,5,4.875,267.000000000,-0.011000000,384810668.000000000
340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,WHITEVILLE,NC,South,Non-Profit,1,9,0.9993332635514984,Critical,0.0045,-0.0010999999999999998,1.0611601776775572,0.0011460700302682373,1.0274176383444347,5,4.875,154.000000000,0.179100000,163353559.000000000
340099,VIDANT ROANOKE CHOWAN HOSPITAL,AHOSKIE,NC,South,Non-Profit,2,9,0.9992725967612034,Critical,0.0204,-0.009000000000000001,1.0780319138407382,-0.0032666147231620005,1.027122735901395,5,4.875,50.000000000,-0.097100000,87613793.000000000
250082,DELTA HEALTH SYSTEM - THE MEDICAL CENTER,GREENVILLE,MS,South,Government,1,9,0.9992698035169105,Critical,0.0019,0.00044999999999999966,0.9892908953479914,0.01377029585120719,1.0425622595199424,5,5.0,82.000000000,-0.134400000,133273484.000000000
070029,BRISTOL HOSPITAL,BRISTOL,CT,Northeast,Non-Profit,2,9,0.9992387725731438,Critical,0.0132,0.004549999999999999,1.0641180669123578,-0.01196037697847674,1.051064736291102,5,4.875,123.000000000,-0.010300000,163369466.000000000
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,PHOENIX,AZ,West,Non-Profit,3,9,0.9992308840230522,Critical,0.0068,0.0003,1.000940074710179,0.0018882699023841812,0.9885166722369794,6,5.875,204.000000000,0.074100000,450101119.000000000
140127,CARLE BROMENN MEDICAL CENTER,NORMAL,IL,Midwest,Non-Profit,3,9,0.9992145365679325,Critical,0.0014,-5.000000000000031e-05,0.9495380253819977,0.019333420630235142,0.9944930938105488,6,5.875,206.000000000,0.068200000,260528779.000000000
050211,ALAMEDA HOSPITAL,ALAMEDA,CA,West,Government,4,9,0.9992114327363772,Critical,0.0105,-0.002600000000000001,1.006016493028463,0.0008719256792562118,1.0150238956641728,5,4.875,66.000000000,-0.474000000,123281305.000000000
050557,MEMORIAL MEDICAL CENTER,MODESTO,CA,West,Non-Profit,3,9,0.9992102524972025,Critical,0.0018,0.0008000000000000003,0.9798629139605651,0.009889490718715326,0.9964819415767521,6,5.875,403.000000000,0.092600000,955137045.000000000
450072,CHI ST LUKE'S HEALTH BRAZOSPORT,LAKE JACKSON,TX,South,Non-Profit,4,9,0.9992070575725668,Critical,0.005,0.0010499999999999986,0.9880033400494291,0.005020571936999996,0.9926202525242132,5,4.875,80.000000000,0.069700000,106304483.000000000
490114,LONESOME PINE HOSPITAL,BIG STONE GAP,VA,South,Non-Profit,4,9,0.9992053709656662,Critical,0.0128,0.0012000000000000008,1.0484794795883228,-0.009009366336837724,1.0247315876935312,5,4.875,49.000000000,0.106200000,183606248.000000000
360025,FIRELANDS REGIONAL MEDICAL CENTER,SANDUSKY,OH,Midwest,Non-Profit,4,9,0.9991812821064875,Critical,0.002,-0.00010000000000000009,0.9552019603192078,0.009876852213038289,0.9852050623635966,6,5.875,149.000000000,-0.094400000,257567464.000000000
100321,ASCENSION ST VINCENT'S CLAY COUNTY,MIDDLEBURG,FL,South,Non-Profit,3,9,0.9991577449780098,Critical,0.03,-0.007699999999999993,1.0873228234373482,-0.00605504022311835,1.008010821048182,5,4.875,126.000000000,0.031400000,156392145.000000000
370020,MERCY HOSPITAL ADA,ADA,OK,South,Non-Profit,4,8,0.9991198750281883,Critical,0.0104,-0.0037500000000000007,1.0412544530545975,-0.0057274361620497215,1.0068407525288163,5,4.875,108.000000000,0.057200000,143910384.000000000
190053,OCHSNER AMERICAN LEGION HOSPITAL,JENNINGS,LA,South,Non-Profit,2,9,0.9991187915907341,Critical,0.0189,-0.0078000000000000005,1.0149871970004036,0.008325219171132704,1.0094663698094848,5,4.75,49.000000000,-0.260500000,60630526.000000000
310096,SAINT MICHAEL'S MEDICAL CENTER,NEWARK,NJ,Northeast,Non-Profit,4,9,0.9990890679056609,Critical,0.008,0.0006499999999999994,1.0491609403375064,-0.010603464526639165,1.0303866477443926,6,5.875,110.000000000,-0.139100000,155998184.000000000
050077,SCRIPPS MERCY HOSPITAL,SAN DIEGO,CA,West,Non-Profit,4,9,0.9990820770942779,Critical,0.0105,-0.0012000000000000003,1.0873001315183901,-0.017606014440164835,1.0325138027957814,6,5.875,545.000000000,-0.157700000,1140520667.000000000
180051,JENNIE STUART MEDICAL CENTER,HOPKINSVILLE,KY,South,Non-Profit,1,9,0.9990634488751895,Critical,0.0178,-0.00665,1.0679933902973218,0.006914484719695929,1.0195644202404246,5,4.875,106.000000000,0.004000000,221643561.000000000
120026,PALI MOMI MEDICAL CENTER,AIEA,HI,West,For-Profit,4,8,0.9990581967279614,Critical,0.0035,-0.0009000000000000001,1.0216945381079972,0.00373510417674417,0.9972494990705274,5,4.875,118.000000000,-0.023100000,349444796.000000000
310115,AHS HOSPITAL CORP,HACKETTSTOWN,NJ,Northeast,Non-Profit,4,9,0.998998643006375,Critical,0.0131,-0.005049999999999999,1.0436547258324702,-0.001963358996092644,1.0058981243349847,5,4.875,93.000000000,0.020400000,146127267.000000000
