facility_id,facility_name,city,state,census_region,ownership_category,star_rating,hrrp_penalty_pct,vbp_tps,penalty_cohort,total_years_penalized,avg_err,mspb_ratio,hac_score
220029,ANNA JAQUES HOSPITAL,NEWBURYPORT,MA,Northeast,Non-Profit,3,3.0,25.9,chronic,10,1.1093,0.97,1832.4
100260,ST LUCIE MEDICAL CENTER,PORT SAINT LUCIE,FL,South,For-Profit,1,3.0,28.6,chronic,10,1.2014,1.0,3583.8
220008,STURDY MEMORIAL HOSPITAL,ATTLEBORO,MA,Northeast,Non-Profit,3,3.0,28.8,chronic,10,1.1569,0.97,2604.1
490022,MARY WASHINGTON HOSPITAL,FREDERICKSBURG,VA,South,Non-Profit,3,2.42,27.3,chronic,10,1.0682,0.96,6882.8
220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,TAUNTON,MA,Northeast,For-Profit,1,2.36,22.7,chronic,10,1.1715,1.01,2154.8
310041,COMMUNITY MEDICAL CENTER,TOMS RIVER,NJ,Northeast,Non-Profit,1,2.29,20.0,chronic,10,1.1122,1.13,7433.7
390102,UPMC ST MARGARET,PITTSBURGH,PA,Northeast,Non-Profit,3,2.1,20.8,chronic,10,1.129,1.01,2921.2
440018,SYCAMORE SHOALS HOSPITAL,ELIZABETHTON,TN,South,Non-Profit,2,2.0,15.8,chronic,10,1.0926,1.1,1283.4
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,NEW BRUNSWICK,NJ,Northeast,Non-Profit,2,1.99,27.5,chronic,10,1.1265,1.07,12620.4
100246,HCA FLORIDA LAWNWOOD HOSPITAL,FORT PIERCE,FL,South,For-Profit,1,1.96,21.2,chronic,10,1.0947,1.09,7098.8
220111,GOOD SAMARITAN MEDICAL CENTER,BROCKTON,MA,Northeast,For-Profit,2,1.94,26.5,chronic,10,1.0529,1.0,3645.7
370019,GREAT PLAINS REGIONAL MEDICAL CENTER,ELK CITY,OK,South,Non-Profit,2,1.92,18.7,intermittent,8,1.165,1.08,569.3
370056,MEMORIAL HEALTH,LAWTON,OK,South,Government,2,1.85,27.1,chronic,10,1.0712,0.97,3336.2
140127,CARLE BROMENN MEDICAL CENTER,NORMAL,IL,Midwest,Non-Profit,3,1.81,28.4,intermittent,9,1.144,0.96,2985.9
330194,MAIMONIDES MEDICAL CENTER,BROOKLYN,NY,Northeast,Non-Profit,2,1.79,27.8,chronic,10,1.0896,1.07,11287.4
360112,MERCY ST VINCENT MEDICAL CENTER,TOLEDO,OH,Midwest,Non-Profit,3,1.78,18.9,chronic,10,1.0634,1.04,9178.6
250117,HIGHLAND COMMUNITY  HOSPITAL,PICAYUNE,MS,South,Government,1,1.78,22.2,chronic,10,1.0254,1.11,721.8
390112,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,WINDBER,PA,Northeast,Non-Profit,2,1.74,12.5,intermittent,6,1.0365,1.02,428.9
220077,BAYSTATE MEDICAL CENTER,SPRINGFIELD,MA,Northeast,Non-Profit,2,1.74,12.8,intermittent,8,1.1066,1.03,13017.8
140082,LOUIS A WEISS MEMORIAL HOSPITAL,CHICAGO,IL,Midwest,For-Profit,1,1.73,12.9,chronic,10,1.1012,1.12,799.3
170197,KANSAS MEDICAL CENTER LLC,ANDOVER,KS,Midwest,For-Profit,2,1.66,16.7,intermittent,4,0.9757,1.03,813.3
440173,PARKWEST MEDICAL CENTER,KNOXVILLE,TN,South,Non-Profit,3,1.62,23.3,chronic,10,1.062,0.97,5595.7
220080,HOLY FAMILY HOSPITAL,METHUEN,MA,Northeast,For-Profit,2,1.6,19.0,chronic,10,1.1552,1.07,3038.1
310084,MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,LAKEWOOD,NJ,Northeast,Non-Profit,3,1.55,27.0,chronic,10,1.1016,1.15,3060.9
440059,COOKEVILLE REGIONAL MEDICAL CENTER,COOKEVILLE,TN,South,Government,2,1.54,22.9,chronic,10,1.0796,0.98,4544.4
180050,HARLAN ARH HOSPITAL,HARLAN,KY,South,Non-Profit,2,1.53,27.1,chronic,10,1.0669,0.95,1047.6
100086,BROWARD HEALTH NORTH,DEERFIELD BEACH,FL,South,Government,3,1.51,25.5,chronic,10,1.115,1.11,5213.7
490048,LEWISGALE MEDICAL CENTER,SALEM,VA,South,For-Profit,2,1.48,16.5,chronic,10,1.0814,1.05,5092.8
310034,RIVERVIEW MEDICAL CENTER,RED BANK,NJ,Northeast,Non-Profit,3,1.47,28.7,chronic,10,1.0303,1.07,3586.8
260025,HANNIBAL REGIONAL HOSPITAL,HANNIBAL,MO,Midwest,Non-Profit,2,1.45,27.8,chronic,10,1.0713,0.98,1866.5
220063,LOWELL GENERAL HOSPITAL,LOWELL,MA,Northeast,Non-Profit,2,1.44,17.3,chronic,10,1.0601,0.98,6457.2
140062,PALOS COMMUNITY HOSPITAL,PALOS HEIGHTS,IL,Midwest,Non-Profit,4,1.4,21.8,chronic,10,1.0843,0.99,6317.9
260214,BELTON REGIONAL MEDICAL CENTER,BELTON,MO,Midwest,Non-Profit,2,1.39,23.5,chronic,10,1.0657,0.99,1411.2
330198,MOUNT SINAI SOUTH NASSAU,OCEANSIDE,NY,Northeast,Non-Profit,3,1.34,26.8,chronic,10,1.0804,1.03,5386.3
450587,HENDRICK MEDICAL CENTER BROWNWOOD,BROWNWOOD,TX,South,For-Profit,1,1.33,7.3,intermittent,9,1.0534,1.1,1721.5
450018,UNIVERSITY OF TEXAS MEDICAL BRANCH GALVESTON,GALVESTON,TX,South,Government,3,1.33,22.1,chronic,10,1.0701,1.06,14316.5
310086,JEFFERSON STRATFORD HOSPITAL,STRATFORD,NJ,Northeast,Non-Profit,2,1.31,19.4,chronic,10,1.1551,1.03,9176.7
140011,HERRIN HOSPITAL,HERRIN,IL,Midwest,Non-Profit,1,1.29,13.3,chronic,10,1.1195,1.01,1853.5
450203,MEDICAL CITY WEATHERFORD,WEATHERFORD,TX,South,For-Profit,2,1.29,26.3,intermittent,9,1.0495,1.08,2429.3
230176,COREWELL HEALTH TRENTON HOSPITAL,TRENTON,MI,Midwest,Non-Profit,3,1.27,24.3,chronic,10,1.064,1.01,2899.8
250058,SOUTH CENTRAL REG MED CTR,LAUREL,MS,South,Government,1,1.26,15.8,chronic,10,1.0851,1.0,2612.9
100231,HCA FLORIDA WEST HOSPITAL,PENSACOLA,FL,South,For-Profit,3,1.24,25.9,chronic,10,1.0431,1.02,3573.6
250141,BAPTIST MEMORIAL HOSPITAL DESOTO,SOUTHAVEN,MS,South,For-Profit,3,1.23,15.7,chronic,10,1.0191,1.0,6000.2
250040,SINGING RIVER HEALTH SYSTEM,PASCAGOULA,MS,South,Government,1,1.22,20.2,chronic,10,1.042,1.01,1868.2
360082,EUCLID HOSPITAL,EUCLID,OH,Midwest,Non-Profit,4,1.22,23.9,intermittent,8,1.0155,1.02,2035.2
150006,NORTHWEST HEALTH-LA PORTE,LA PORTE,IN,Midwest,Non-Profit,3,1.21,18.1,chronic,10,1.0569,1.03,1837.3
450670,HCA HOUSTON HEALTHCARE TOMBALL,TOMBALL,TX,South,For-Profit,3,1.21,27.3,chronic,10,1.0432,1.12,2465.2
100238,HCA FLORIDA NORTHSIDE HOSPITAL,SAINT PETERSBURG,FL,South,For-Profit,1,1.2,22.0,chronic,10,1.136,1.05,3805.8
230020,BEAUMONT HOSPITAL - DEARBORN,DEARBORN,MI,Midwest,Non-Profit,2,1.2,22.9,chronic,10,1.0579,1.05,8420.1
330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,SUFFERN,NY,Northeast,Non-Profit,3,1.2,26.6,chronic,10,1.0314,1.09,4057.0
100275,WELLINGTON REGIONAL MEDICAL CENTER,WELLINGTON,FL,South,For-Profit,2,1.17,15.6,chronic,10,1.0348,1.0,4419.9
310048,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,SOMERVILLE,NJ,Northeast,Non-Profit,3,1.17,26.8,chronic,10,1.0956,1.02,4582.6
310045,ENGLEWOOD HOSPITAL AND MEDICAL CENTER,ENGLEWOOD,NJ,Northeast,Non-Profit,4,1.15,25.1,chronic,10,1.0089,1.05,4643.8
440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,BRISTOL,TN,South,Government,2,1.13,13.8,chronic,10,1.0251,1.04,5327.0
390127,PHOENIXVILLE HOSPITAL,PHOENIXVILLE,PA,Northeast,Non-Profit,3,1.13,21.9,chronic,10,1.0999,0.98,2027.2
