sales_tier,compound_severity_score,est_hrrp_loss,facility_id,facility_name,city,state,census_region,ownership_category,star_rating,hrrp_penalty_pct,vbp_tps,penalty_cohort,total_years_penalized,avg_err,mspb_ratio,hac_score,sales_themes,recommended_vendor_categories
Tier 1 - Critical,56.8,865000,140082,LOUIS A WEISS MEMORIAL HOSPITAL,CHICAGO,IL,Midwest,For-Profit,1.0,1.73,12.9,chronic,10,1.1012,1.12,799.3,Readmission Reduction (urgent) | Quality Improvement Program | Star Rating Recovery,Discharge Planning / Care Coordination | Remote Patient Monitoring | Quality Analytics Platform
Tier 1 - Critical,56.2,1000000,440018,SYCAMORE SHOALS HOSPITAL,ELIZABETHTON,TN,South,Non-Profit,2.0,2.0,15.8,chronic,10,1.0926,1.1,1283.4,Readmission Reduction (urgent) | Quality Improvement Program | Star Rating Recovery,Discharge Planning / Care Coordination | Remote Patient Monitoring | Quality Analytics Platform
Tier 1 - Critical,55.6,1500000,220029,ANNA JAQUES HOSPITAL,NEWBURYPORT,MA,Northeast,Non-Profit,3.0,3.0,25.9,chronic,10,1.1093,0.97,1832.4,Readmission Reduction (urgent) | Comprehensive Performance Turnaround,Discharge Planning / Care Coordination | Remote Patient Monitoring
Tier 1 - Critical,53.8,1145000,310041,COMMUNITY MEDICAL CENTER,TOMS RIVER,NJ,Northeast,Non-Profit,1.0,2.29,20.0,chronic,10,1.1122,1.13,7433.7,Readmission Reduction (urgent) | Star Rating Recovery | Cost Reduction / Care Efficiency,Discharge Planning / Care Coordination | Remote Patient Monitoring | Quality Analytics Platform
Tier 1 - Critical,52.4,555000,440063,JOHNSON CITY MEDICAL CENTER,JOHNSON CITY,TN,South,Non-Profit,1.0,1.11,9.4,chronic,10,1.0299,1.06,9007.2,Readmission Reduction (urgent) | Quality Improvement Program | Star Rating Recovery,Discharge Planning / Care Coordination | Remote Patient Monitoring | Quality Analytics Platform
Tier 1 - Critical,51.1,370000,440185,AFFILIATE OF VITRUVIAN HEALTH,CLEVELAND,TN,South,For-Profit,2.0,0.74,6.6,chronic,10,1.0679,1.0,3022.8,Readmission Reduction | Quality Improvement Program | Star Rating Recovery,Discharge Planning / Care Coordination | Remote Patient Monitoring | Quality Analytics Platform
Tier 1 - Critical,51.0,1500000,100260,ST LUCIE MEDICAL CENTER,PORT SAINT LUCIE,FL,South,For-Profit,1.0,3.0,28.6,chronic,10,1.2014,1.0,3583.8,Readmission Reduction (urgent) | Star Rating Recovery | Comprehensive Performance Turnaround,Discharge Planning / Care Coordination | Remote Patient Monitoring | Quality Analytics Platform
Tier 1 - Critical,50.9,425000,230099,PROMEDICA MONROE REGIONAL HOSPITAL,MONROE,MI,Midwest,Non-Profit,1.0,0.85,7.7,chronic,10,1.0764,1.02,2037.2,Readmission Reduction | Quality Improvement Program | Star Rating Recovery,Discharge Planning / Care Coordination | Remote Patient Monitoring | Quality Analytics Platform
Tier 1 - Critical,50.6,1500000,220008,STURDY MEMORIAL HOSPITAL,ATTLEBORO,MA,Northeast,Non-Profit,3.0,3.0,28.8,chronic,10,1.1569,0.97,2604.1,Readmission Reduction (urgent) | Comprehensive Performance Turnaround,Discharge Planning / Care Coordination | Remote Patient Monitoring
Tier 1 - Critical,50.4,1180000,220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,TAUNTON,MA,Northeast,For-Profit,1.0,2.36,22.7,chronic,10,1.1715,1.01,2154.8,Readmission Reduction (urgent) | Star Rating Recovery | Comprehensive Performance Turnaround,Discharge Planning / Care Coordination | Remote Patient Monitoring | Quality Analytics Platform
