facility_id,facility_name,city,state,census_region,ownership_category,star_rating,hrrp_penalty_pct,vbp_tps,penalty_cohort,total_years_penalized,avg_err,mspb_ratio,hac_score,bed_count,operating_margin,net_patient_revenue,total_expenses,fte_employees,positive_margin,margin_status,bed_bracket,validated_tier
100260,ST LUCIE MEDICAL CENTER,PORT SAINT LUCIE,FL,South,For-Profit,1,3.0,28.6,chronic,10,1.2014,1.0,3583.8,222.000000000,0.627300000,327080224.000000000,121914322.000000000,841.490000000,True,positive,100-299,Tier 1 Qualified
490022,MARY WASHINGTON HOSPITAL,FREDERICKSBURG,VA,South,Non-Profit,3,2.42,27.3,chronic,10,1.0682,0.96,6882.8,435.000000000,0.082300000,697070891.000000000,639712229.000000000,1857.550000000,True,positive,300+,Tier 1 Qualified
310041,COMMUNITY MEDICAL CENTER,TOMS RIVER,NJ,Northeast,Non-Profit,1,2.29,20.0,chronic,10,1.1122,1.13,7433.7,430.000000000,0.051000000,573418354.000000000,544147120.000000000,2007.960000000,True,positive,300+,Tier 1 Qualified
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,NEW BRUNSWICK,NJ,Northeast,Non-Profit,2,1.99,27.5,chronic,10,1.1265,1.07,12620.4,625.000000000,0.002600000,1665310131.000000000,1661059395.000000000,4563.400000000,True,positive,300+,Tier 1 Qualified
100246,HCA FLORIDA LAWNWOOD HOSPITAL,FORT PIERCE,FL,South,For-Profit,1,1.96,21.2,chronic,10,1.0947,1.09,7098.8,407.000000000,0.412400000,657624479.000000000,386440510.000000000,1710.000000000,True,positive,300+,Tier 1 Qualified
360112,MERCY ST VINCENT MEDICAL CENTER,TOLEDO,OH,Midwest,Non-Profit,3,1.78,18.9,chronic,10,1.0634,1.04,9178.6,538.000000000,0.006800000,1065892114.000000000,1058688584.000000000,3574.250000000,True,positive,300+,Tier 1 Qualified
310084,MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,LAKEWOOD,NJ,Northeast,Non-Profit,3,1.55,27.0,chronic,10,1.1016,1.15,3060.9,201.000000000,0.004500000,160027988.000000000,159313932.000000000,546.960000000,True,positive,100-299,Tier 1 Qualified
440059,COOKEVILLE REGIONAL MEDICAL CENTER,COOKEVILLE,TN,South,Government,2,1.54,22.9,chronic,10,1.0796,0.98,4544.4,224.000000000,0.056600000,462736080.000000000,436555465.000000000,1909.790000000,True,positive,100-299,Tier 1 Qualified
490048,LEWISGALE MEDICAL CENTER,SALEM,VA,South,For-Profit,2,1.48,16.5,chronic,10,1.0814,1.05,5092.8,271.000000000,0.307900000,538909157.000000000,372997431.000000000,1237.400000000,True,positive,100-299,Tier 1 Qualified
310034,RIVERVIEW MEDICAL CENTER,RED BANK,NJ,Northeast,Non-Profit,3,1.47,28.7,chronic,10,1.0303,1.07,3586.8,232.000000000,0.022500000,414236282.000000000,404902044.000000000,1417.560000000,True,positive,100-299,Tier 1 Qualified
230176,COREWELL HEALTH TRENTON HOSPITAL,TRENTON,MI,Midwest,Non-Profit,3,1.27,24.3,chronic,10,1.064,1.01,2899.8,193.000000000,0.004600000,220367160.000000000,219354532.000000000,926.070000000,True,positive,100-299,Tier 1 Qualified
250058,SOUTH CENTRAL REG MED CTR,LAUREL,MS,South,Government,1,1.26,15.8,chronic,10,1.0851,1.0,2612.9,268.000000000,0.001300000,208209124.000000000,207936494.000000000,1565.570000000,True,positive,100-299,Tier 1 Qualified
100231,HCA FLORIDA WEST HOSPITAL,PENSACOLA,FL,South,For-Profit,3,1.24,25.9,chronic,10,1.0431,1.02,3573.6,354.000000000,0.330700000,458124672.000000000,306637829.000000000,1115.580000000,True,positive,300+,Tier 1 Qualified
250141,BAPTIST MEMORIAL HOSPITAL DESOTO,SOUTHAVEN,MS,South,For-Profit,3,1.23,15.7,chronic,10,1.0191,1.0,6000.2,281.000000000,0.123600000,394484872.000000000,345722994.000000000,1430.160000000,True,positive,100-299,Tier 1 Qualified
