facility_name,city,state,star_rating,hrrp_penalty_pct,vbp_tps,bed_count,operating_margin,net_patient_revenue,est_annual_hrrp_loss
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,NEW BRUNSWICK,NJ,2.0,1.99,27.5,625.0,0.0026,1665310131.0,33139671.606900003
MERCY ST VINCENT MEDICAL CENTER,TOLEDO,OH,3.0,1.78,18.9,538.0,0.0068,1065892114.0,18972879.6292
"NORTON HOSPITALS, INC",LOUISVILLE,KY,2.0,0.55,15.5,1541.0,0.067,3313227513.0,18222751.321500003
MARY WASHINGTON HOSPITAL,FREDERICKSBURG,VA,3.0,2.42,27.3,435.0,0.0823,697070891.0,16869115.5622
LAKELAND REGIONAL MEDICAL CENTER,LAKELAND,FL,1.0,1.11,16.1,782.0,0.1113,1301293724.0,14444360.3364
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,ENGLEWOOD,NJ,4.0,1.15,25.1,280.0,0.0029,1165298969.0,13400938.1435
COMMUNITY MEDICAL CENTER,TOMS RIVER,NJ,1.0,2.29,20.0,430.0,0.051,573418354.0,13131280.3066
HCA FLORIDA LAWNWOOD HOSPITAL,FORT PIERCE,FL,1.0,1.96,21.2,407.0,0.4124,657624479.0,12889439.7884
CARLE FOUNDATION HOSPITAL,URBANA,IL,2.0,0.86,26.3,469.0,0.201,1477454680.0,12706110.248
MEMORIAL HERMANN HOSPITAL SYSTEM,HOUSTON,TX,3.0,0.5,21.7,1433.0,0.0153,2335542887.0,11677714.435
JERSEY SHORE UNIVERSITY MEDICAL CENTER,NEPTUNE,NJ,4.0,0.71,26.6,598.0,0.0409,1502003448.0,10664224.4808
ECU HEALTH MEDICAL CENTER,GREENVILLE,NC,2.0,0.54,15.0,1013.0,0.0211,1873700850.0,10117984.59
ST LUCIE MEDICAL CENTER,PORT SAINT LUCIE,FL,1.0,3.0,28.6,222.0,0.6273,327080224.0,9812406.719999999
BEAUMONT HOSPITAL ROYAL OAK,ROYAL OAK,MI,3.0,0.57,20.6,1026.0,0.006,1709325537.0,9743155.560899999
WEST JERSEY HOSPITAL,VOORHEES,NJ,3.0,0.81,20.0,589.0,0.0748,1122134433.0,9089288.907300001
BEAUMONT HOSPITAL - DEARBORN,DEARBORN,MI,2.0,1.2,22.9,498.0,0.031,746232180.0,8954786.16
"BEAUMONT HOSPITAL, TROY",TROY,MI,4.0,1.0,24.3,505.0,0.0259,827732905.0,8277329.05
LEWISGALE MEDICAL CENTER,SALEM,VA,2.0,1.48,16.5,271.0,0.3079,538909157.0,7975855.5236
MARION COMMUNTIY HOSPITAL,OCALA,FL,1.0,0.91,23.3,509.0,0.3036,866049120.0,7881046.992000001
HENDRICK MEDICAL CENTER,ABILENE,TX,3.0,0.92,17.3,496.0,0.0725,844027575.0,7765053.6899999995
ADVENTHEALTH TAMPA,TAMPA,FL,3.0,0.74,22.1,596.0,0.0746,1000298714.0,7402210.4836
CAPE COD HOSPITAL,HYANNIS,MA,2.0,0.99,25.2,259.0,0.0641,734909513.0,7275604.178699999
HCA FLORIDA BRANDON HOSPITAL,BRANDON,FL,3.0,1.1,20.8,445.0,0.5308,649553627.0,7145089.897000001
